rup_mag,dist_rhypo,result_type,damping,0.50,0.60,0.70,0.80,0.90,1.00,1.20,1.50,2.00,3.00,5.00,7.00,10.00,15.00,20.00,30.00,50.00,pga,pgv
8.00,500.00,MEAN,5.00,1.761152E-03,2.089806E-03,2.415096E-03,2.847456E-03,3.429510E-03,3.658844E-03,3.929680E-03,3.696267E-03,3.802522E-03,2.466388E-03,1.881172E-03,1.709554E-03,1.014006E-03,5.733864E-04,3.158061E-04,1.331749E-04,3.059149E-05,1.576175E-03,9.305000E-01
8.00,550.00,MEAN,5.00,1.497555E-03,1.752790E-03,2.009963E-03,2.357584E-03,2.806973E-03,3.021827E-03,3.315199E-03,3.173765E-03,3.300006E-03,2.204321E-03,1.705067E-03,1.560982E-03,9.310009E-04,5.369826E-04,2.976552E-04,1.257310E-04,2.875600E-05,1.354795E-03,8.382000E-01
8.00,600.00,MEAN,5.00,1.284027E-03,1.482361E-03,1.686713E-03,1.968154E-03,2.316387E-03,2.516048E-03,2.810950E-03,2.738550E-03,2.878761E-03,1.980187E-03,1.549765E-03,1.430866E-03,8.583971E-04,5.050654E-04,2.816456E-04,1.191029E-04,2.702248E-05,1.174305E-03,7.607000E-01
8.00,650.00,MEAN,5.00,1.108635E-03,1.262307E-03,1.425359E-03,1.654592E-03,1.924714E-03,2.109181E-03,2.393478E-03,2.372778E-03,2.522166E-03,1.786441E-03,1.411797E-03,1.316046E-03,7.941550E-04,4.768193E-04,2.672676E-04,1.131885E-04,2.559488E-05,1.024917E-03,6.946000E-01
8.00,700.00,MEAN,5.00,9.629180E-04,1.081307E-03,1.211729E-03,1.399255E-03,1.608602E-03,1.778385E-03,2.045449E-03,2.063090E-03,2.217985E-03,1.617474E-03,1.288513E-03,1.213768E-03,7.370509E-04,4.516323E-04,2.542153E-04,1.078860E-04,2.416727E-05,8.997976E-04,6.375000E-01
8.50,500.00,MEAN,5.00,3.536478E-03,4.095792E-03,4.672850E-03,5.594877E-03,6.760617E-03,7.309122E-03,8.062998E-03,8.271632E-03,8.079415E-03,5.807896E-03,3.954969E-03,2.964417E-03,1.677331E-03,8.196479E-04,4.410273E-04,2.007821E-04,5.496270E-05,3.189060E-03,1.600100E+00
8.50,550.00,MEAN,5.00,3.011426E-03,3.444295E-03,3.907960E-03,4.649396E-03,5.548378E-03,6.053239E-03,6.809155E-03,7.114152E-03,7.023703E-03,5.192497E-03,3.589707E-03,2.707958E-03,1.540587E-03,7.703956E-04,4.173698E-04,1.903810E-04,5.190356E-05,2.746504E-03,1.445800E+00
8.50,600.00,MEAN,5.00,2.585694E-03,2.920467E-03,3.295519E-03,3.895826E-03,4.590966E-03,5.054019E-03,5.779344E-03,6.148889E-03,6.137468E-03,4.665915E-03,3.266967E-03,2.483519E-03,1.420873E-03,7.272616E-04,3.963637E-04,1.811016E-04,4.925229E-05,2.385116E-03,1.315900E+00
8.50,650.00,MEAN,5.00,2.235626E-03,2.493512E-03,2.798509E-03,3.287259E-03,3.824854E-03,4.248444E-03,4.926045E-03,5.336481E-03,5.386345E-03,4.210612E-03,2.980019E-03,2.285286E-03,1.315026E-03,6.890222E-04,3.774989E-04,1.728419E-04,4.680497E-05,2.085728E-03,1.205100E+00
8.50,700.00,MEAN,5.00,1.944497E-03,2.141608E-03,2.390521E-03,2.790249E-03,3.205376E-03,3.592052E-03,4.213977E-03,4.647765E-03,4.744536E-03,3.813637E-03,2.723560E-03,2.108671E-03,1.220702E-03,6.548618E-04,3.603677E-04,1.652960E-04,4.456160E-05,1.834877E-03,1.109400E+00
9.00,500.00,MEAN,5.00,6.673329E-03,7.496138E-03,8.450898E-03,1.030709E-02,1.242942E-02,1.361964E-02,1.545166E-02,1.786737E-02,1.652226E-02,1.354795E-02,7.945221E-03,4.547221E-03,2.399494E-03,9.500696E-04,4.973156E-04,2.447319E-04,8.586011E-05,6.084647E-03,2.445800E+00
9.00,550.00,MEAN,5.00,5.690628E-03,6.320303E-03,7.102018E-03,8.596921E-03,1.022816E-02,1.131079E-02,1.306216E-02,1.539282E-02,1.438748E-02,1.211606E-02,7.220814E-03,4.155853E-03,2.204423E-03,8.961266E-04,4.723325E-04,2.329032E-04,8.167927E-05,5.250519E-03,2.216500E+00
9.00,600.00,MEAN,5.00,4.893006E-03,5.373191E-03,6.018263E-03,7.230196E-03,8.485874E-03,9.469697E-03,1.109798E-02,1.332637E-02,1.259329E-02,1.089067E-02,6.580331E-03,3.813229E-03,2.033722E-03,8.490157E-04,4.503067E-04,2.224001E-04,7.790632E-05,4.568533E-03,2.023500E+00
9.00,650.00,MEAN,5.00,4.236513E-03,4.599634E-03,5.135393E-03,6.123294E-03,7.088965E-03,7.982440E-03,9.469187E-03,1.158510E-02,1.107065E-02,9.830982E-03,6.010309E-03,3.510475E-03,1.882906E-03,8.073093E-04,4.304222E-04,2.131207E-04,7.454126E-05,4.002896E-03,1.858600E+00
9.00,700.00,MEAN,5.00,3.689945E-03,3.960884E-03,4.408233E-03,5.216664E-03,5.956774E-03,6.767857E-03,8.108579E-03,1.010682E-02,9.768066E-03,8.906711E-03,5.500349E-03,3.240760E-03,1.748405E-03,7.700897E-04,4.124752E-04,2.046570E-04,7.138013E-05,3.528218E-03,1.716000E+00
